xa1,xb1,y,Oct,Mar,May,Dec,Sep,Feb,Nov,Jul,Jun,Apr,Aug,Jan,Wed,Sun,Fri,Tue,Thu,Sat,Mon
-33.52701,-0.5530996,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.3257336,-1.095908,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.2279528,-0.6940892,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.3676497,-1.060524,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.06688507,-1.298416,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.04560068,-0.4426833,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.4250439,-0.4421489,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3140682,-0.6056542,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.2863973,1.481333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.5877115,0.4083583,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
-0.5012914,0.7362006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5004576,0.1476836,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.3618101,0.535698,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.1791906,0.9301872,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.6402322,-0.3849983,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.09630867,0.2618573,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.2511569,-0.5470305,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.2156029,-0.5654654,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.1934357,0.679975,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.6638122,0.3142406,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-0.45986,-0.4775703,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.3324957,-0.62259,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.3295418,-0.4175311,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
-0.1294813,-1.45219,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.04819833,-1.25127,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.00494208,-0.6086675,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0546621,-1.073798,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.02870485,-0.6753048,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1319617,-0.7546601,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.01917181,-0.3007825,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.5418431,-0.3037808,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
-0.01471646,-0.3514474,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.5197372,0.1409348,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.3668127,-0.3011566,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.4584189,-1.033856,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.1221082,-0.9238385,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.08710976,-0.1683246,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.3032013,-0.4497501,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.007806771,-0.8891132,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.02373269,-0.6449796,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.0919751,-0.6583868,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.1069835,-0.7813772,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.4065188,-0.1673901,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
-0.1347879,-0.7230742,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.009511798,-0.1012063,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.3912146,-0.8960045,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
-0.05505664,-1.01759,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-0.0726753,0.01575873,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.3773679,0.4332871,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.5763068,-0.5653161,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.1982978,-0.8885678,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.03312679,-0.914941,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
