xa10,xb10,y,Dec,Aug,Jan,Sep,Nov,Feb,Mar,Jun,Apr,Jul,May,Oct,Fri,Mon,Tue,Sat,Thu,Sun,Wed
-15.82406,-1.556575,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-15.82406,-1.328545,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-15.82406,-1.218454,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-15.82406,-1.165407,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-15.82406,-0.9663417,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.06314468,-0.708004,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.06314468,-0.4026549,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.06314468,-0.1445668,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.06314468,0.2679767,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.06314468,0.4872219,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.06314468,0.5044639,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.06314468,0.4722047,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.06314468,0.4428803,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.06314468,0.4548065,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.06314468,0.2274826,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.06314468,0.07460291,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.06314468,-0.07381613,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.06314468,-0.1021153,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.06314468,-0.008987164,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.06314468,-0.1143169,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.06314468,-0.3396241,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.06314468,-0.6129439,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.06314468,-0.7719425,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.06314468,-0.9270866,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
