xa120,xb120,y,May,Apr,Aug,Nov,Jul,Jun,Feb,Jan,Mar,Dec,Sep,Oct,Tue,Wed,Sat,Fri,Thu,Sun,Mon
-4.466631,-1.682533,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-4.466631,-1.616792,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-4.466631,-1.567246,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-4.466631,-1.509574,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-4.466631,-1.45022,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-4.466631,-1.384926,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-4.466631,-1.312099,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-4.466631,-1.250974,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-4.466631,-1.1671,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-4.466631,-1.093744,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-4.466631,-1.052497,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-4.466631,-1.026544,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
-4.466631,-1.002288,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
-4.466631,-0.9591802,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
-4.466631,-0.9419648,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-4.466631,-0.9359663,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-4.466631,-0.9298559,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-4.466631,-0.9147844,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
-4.466631,-0.8778428,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-4.466631,-0.8703668,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-4.466631,-0.8680454,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-4.466631,-0.893524,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-4.466631,-0.889261,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-4.466631,-0.8826745,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-4.466631,-0.8857427,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
-4.466631,-0.8462348,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
-4.466631,-0.831817,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
-4.466631,-0.805964,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-4.466631,-0.7633899,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-4.466631,-0.7404575,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
-4.466631,-0.7170767,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
-4.466631,-0.6870344,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-4.466631,-0.663306,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-4.466631,-0.6568588,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-4.466631,-0.656806,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-4.466631,-0.6545195,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-4.466631,-0.6522891,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-4.466631,-0.6506878,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-4.466631,-0.6474225,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-4.466631,-0.6394548,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-4.466631,-0.6263451,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
-4.466631,-0.6200438,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-4.466631,-0.5981322,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-4.466631,-0.5781494,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-4.466631,-0.5461351,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-4.466631,-0.5170631,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-4.466631,-0.4965364,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-4.466631,-0.4611356,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-4.466631,-0.4216951,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
-4.466631,-0.3912473,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
-4.466631,-0.3841793,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
-4.466631,-0.3416105,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-4.466631,-0.3016251,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
-4.466631,-0.2727486,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-4.466631,-0.2550467,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
-4.466631,-0.2533355,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-4.466631,-0.2388612,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-4.466631,-0.2144639,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
-4.466631,-0.1789335,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-4.466631,-0.1531953,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2237044,-0.133562,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.2237044,-0.1140923,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.2237044,-0.06380054,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.2237044,-0.04538836,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.2237044,-0.02115783,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.2237044,-0.006828103,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2237044,0.01379329,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.2237044,0.01572614,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.2237044,0.0184264,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.2237044,0.01633976,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.2237044,0.0449969,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.2237044,0.09099404,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.2237044,0.136173,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2237044,0.1400804,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.2237044,0.09449797,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.2237044,0.06241048,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.2237044,0.04247242,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.2237044,0.0698957,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2237044,0.08986815,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.2237044,0.09516359,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.2237044,0.1242453,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.2237044,0.1691047,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.2237044,0.2038043,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.2237044,0.2072827,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.2237044,0.2315694,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.2237044,0.2471784,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.2237044,0.2792086,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2237044,0.3270111,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.2237044,0.3858875,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.2237044,0.430439,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.2237044,0.4417135,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.2237044,0.3834165,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.2237044,0.2760245,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.2237044,0.158002,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.2237044,0.05610422,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.2237044,-0.006876472,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2237044,-0.04794792,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2237044,-0.05364464,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.2237044,-0.05927804,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.2237044,-0.09458161,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.2237044,-0.1365793,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.2237044,-0.1690264,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.2237044,-0.2021822,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.2237044,-0.2188107,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.2237044,-0.2410246,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.2237044,-0.2551122,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.2237044,-0.25453,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.2237044,-0.2531795,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.2237044,-0.2783687,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2237044,-0.3171026,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.2237044,-0.3533993,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
