xa250,xb250,y,Mar,Sep,Oct,Nov,May,Jun,Apr,Feb,Jan,Jul,Aug,Dec,Fri,Thu,Sun,Sat,Tue,Wed,Mon
-2.9341,-1.849482,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.9341,-1.806115,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-2.9341,-1.771073,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-2.9341,-1.730597,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-2.9341,-1.688192,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-2.9341,-1.641858,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-2.9341,-1.593795,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-2.9341,-1.5532,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-2.9341,-1.49784,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-2.9341,-1.446374,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
-2.9341,-1.412683,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-2.9341,-1.392595,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-2.9341,-1.373832,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
-2.9341,-1.344312,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-2.9341,-1.331017,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-2.9341,-1.324153,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-2.9341,-1.314376,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-2.9341,-1.29769,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-2.9341,-1.270124,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-2.9341,-1.261703,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-2.9341,-1.254425,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
-2.9341,-1.262824,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
-2.9341,-1.25682,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
-2.9341,-1.246571,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-2.9341,-1.243355,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
-2.9341,-1.216087,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
-2.9341,-1.201887,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
-2.9341,-1.179584,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
-2.9341,-1.150588,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-2.9341,-1.132863,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.9341,-1.11479,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.9341,-1.09133,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-2.9341,-1.07393,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
-2.9341,-1.065732,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.9341,-1.059779,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
-2.9341,-1.05571,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
-2.9341,-1.051325,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.9341,-1.04673,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-2.9341,-1.041391,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
-2.9341,-1.033196,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-2.9341,-1.021911,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
-2.9341,-1.013668,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-2.9341,-0.9963885,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-2.9341,-0.9790389,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-2.9341,-0.9567745,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
-2.9341,-0.9324054,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-2.9341,-0.9162386,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
-2.9341,-0.889173,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
-2.9341,-0.8607885,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-2.9341,-0.8396648,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
-2.9341,-0.8306196,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
-2.9341,-0.7981263,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-2.9341,-0.7688355,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.9341,-0.7478683,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-2.9341,-0.7337711,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-2.9341,-0.7298521,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.9341,-0.7165294,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-2.9341,-0.6985823,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-2.9341,-0.6744187,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
-2.9341,-0.6550268,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-2.9341,-0.6344799,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-2.9341,-0.619849,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.9341,-0.5857978,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-2.9341,-0.5714896,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
-2.9341,-0.5538221,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.9341,-0.5420063,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.9341,-0.5259127,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
-2.9341,-0.5205295,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-2.9341,-0.5150856,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.9341,-0.5108531,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-2.9341,-0.490012,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-2.9341,-0.456664,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
-2.9341,-0.4242949,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-2.9341,-0.4174355,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.9341,-0.4383342,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-2.9341,-0.4497422,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-2.9341,-0.4537622,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
-2.9341,-0.4340735,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-2.9341,-0.4190138,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-2.9341,-0.4074612,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-2.9341,-0.384895,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
-2.9341,-0.3478508,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-2.9341,-0.3231257,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-2.9341,-0.3146146,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-2.9341,-0.2927232,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
-2.9341,-0.2791485,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-2.9341,-0.2552341,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
-2.9341,-0.21989,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
-2.9341,-0.1812983,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.9341,-0.1463716,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-2.9341,-0.1361387,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
