xa3,xb3,y,May,Aug,Jul,Jan,Apr,Dec,Mar,Feb,Sep,Oct,Jun,Nov,Mon,Sun,Sat,Wed,Thu,Fri,Tue
-24.34521,-1.209433,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-24.34521,-0.9206987,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.2173527,-0.9653575,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.146294,-1.061986,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.2865391,-1.168983,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.0292437,-0.7901273,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.01377602,-0.5094985,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.3282482,-0.2201809,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.2476006,0.6601513,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.2274918,0.8924857,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.4077359,0.5753872,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
-0.3449331,0.4446584,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.3830525,0.5137485,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2822953,0.6304345,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.1495831,0.1759189,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-0.4459035,-0.09549719,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.08935158,-0.3040156,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.1631567,-0.3814621,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.1373191,0.2222805,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
-0.1212099,0.3312798,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5017647,-0.2576495,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
-0.3148243,-0.5860999,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.2222668,-0.7145957,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.2588455,-1.166072,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.07473332,-1.315292,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.05438909,-0.9776239,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.02295414,-0.9254112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0590864,-0.8917509,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
-0.001497571,-0.7083312,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.1152611,-0.4910226,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.005430222,-0.3368879,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.4131279,-0.2747001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.008667991,-0.1045146,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.3970633,-0.299056,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.2472055,-0.8373387,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
-0.313777,-0.906127,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.06937517,-0.5067699,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.0826666,-0.4655894,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.2009781,-0.7620183,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.01368937,-0.7909462,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.002115764,-0.7320781,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.04747699,-0.6925614,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.09710915,-0.5041616,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.3147858,-0.4710581,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-0.07858968,-0.4784041,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0124503,-0.706999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.3036641,-0.8737948,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
-0.0206478,-0.2807938,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-0.03345154,0.1394858,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.2936014,-0.3103722,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.4381732,-0.852471,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
-0.1247433,-0.8894395,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
-0.004711063,-0.5671156,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.03843505,-0.3195368,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1372538,-0.5107532,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.4006628,-0.8455751,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.0903922,-1.010335,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.1271468,-0.6760024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.04944689,-0.1534672,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.04098083,-0.1740763,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2464407,-0.3814152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2260639,-0.1214451,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.05705698,0.3903159,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.4601369,0.2959256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.3905048,0.1293157,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.09003685,0.3055076,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.4811813,0.3703711,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.04070576,0.3030713,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.5852159,0.05356746,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.02013085,-0.269091,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-0.06167579,-0.2642274,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.01251572,-0.02688528,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-0.2898917,0.7420713,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1523897,1.279515,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.3718216,0.2610545,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
-0.02834005,-0.5941572,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.2376673,-0.6794628,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.331078,-0.4538062,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.06398539,0.0126863,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.1371982,0.0541988,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.1590727,-0.01389221,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
-0.299447,0.3621531,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.6389326,0.4249705,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-0.3424631,0.450505,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.04390727,0.9737782,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.4890464,0.7516011,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.7009913,0.5522557,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-0.1704542,1.546249,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.02766878,2.671378,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.6292829,3.563207,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.9621663,4.339302,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.260354,3.447373,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-0.9997676,1.463334,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.7072003,0.2971438,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.482467,-0.5445015,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.1662228,-1.007714,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.0441491,-0.9766972,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1626072,-0.6789988,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.1152145,-0.09488025,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
