xa40,xb40,y,Sep,Oct,Aug,Jan,Dec,Jul,Nov,Feb,Apr,Mar,Jun,May,Sat,Tue,Fri,Thu,Wed,Mon,Sun
-7.864528,-1.573068,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-7.864528,-1.433033,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-7.864528,-1.340992,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-7.864528,-1.255987,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-7.864528,-1.137988,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-7.864528,-1.021181,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-7.864528,-0.8682228,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
-7.864528,-0.7512271,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-7.864528,-0.5812861,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
-7.864528,-0.4495822,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-7.864528,-0.3771334,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-7.864528,-0.3572162,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
-7.864528,-0.3304398,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-7.864528,-0.2862099,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-7.864528,-0.332895,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-7.864528,-0.3622049,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-7.864528,-0.3919331,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
-7.864528,-0.3805835,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
-7.864528,-0.3279213,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-7.864528,-0.3794295,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.1270521,-0.4367959,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1270521,-0.5385553,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.1270521,-0.5895308,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.1270521,-0.6339438,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1270521,-0.6954559,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.1270521,-0.6691681,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1270521,-0.6773509,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.1270521,-0.6566843,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1270521,-0.6120777,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.1270521,-0.6042912,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.1270521,-0.605113,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.1270521,-0.6277104,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.1270521,-0.6295759,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1270521,-0.6662357,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1270521,-0.7217114,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1270521,-0.7282855,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1270521,-0.7290324,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1270521,-0.7358804,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1270521,-0.7515759,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1270521,-0.7610143,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.1270521,-0.7490465,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.1270521,-0.7515658,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.1270521,-0.7419842,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1270521,-0.721131,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1270521,-0.6783518,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.1270521,-0.6620259,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.1270521,-0.6450181,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1270521,-0.5902129,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.1270521,-0.5408501,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
