xa5,xb5,y,Sep,Feb,Apr,Jul,Oct,Jun,May,Aug,Dec,Jan,Nov,Mar,Thu,Wed,Sun,Mon,Fri,Tue,Sat
-20.05594,-1.323862,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-20.05594,-1.068382,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-20.05594,-1.025564,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.1631458,-1.068851,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.1045598,-1.062412,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.2522999,-0.8393581,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.00805484,-0.4208056,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.004697862,-0.0827739,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.286688,0.5351044,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.2201961,0.7266843,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2036169,0.6643235,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
-0.3201119,0.5340958,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
-0.2683326,0.4919626,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.3318727,0.5093503,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.248801,0.1815361,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1393832,-0.08442934,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.35158,-0.2278131,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.0897239,-0.2000285,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-0.1184627,0.06536755,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.09716021,0.1192088,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.08387856,-0.1983293,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.4297478,-0.6019837,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
-0.2435087,-0.8347197,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-0.1671974,-1.103159,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2294673,-1.233608,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.04555986,-1.069238,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.06089823,-0.9683871,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.03498093,-0.8521383,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.06477104,-0.717339,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.01482112,-0.5206901,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.1110857,-0.3501217,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.02053291,-0.2685999,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.3566691,-0.2474597,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.02320237,-0.4207834,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3434242,-0.7061128,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.1877587,-0.8053968,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.2426452,-0.6399576,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.0411422,-0.5769137,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.0842123,-0.7172034,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.1496454,-0.7962594,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02734236,-0.7341208,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.01780023,-0.694813,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.02308771,-0.5327625,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.09611982,-0.5383714,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2755886,-0.5666856,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.04873932,-0.6770772,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.02632078,-0.6530002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.266419,-0.3655068,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
-0.0009677477,-0.1273402,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.0115241,-0.3709531,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.2581226,-0.7190335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3773183,-0.7970684,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.08679177,-0.6191054,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.01217168,-0.4658102,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.04774453,-0.6020404,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.1292181,-0.8017022,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.3463919,-0.8682583,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
-0.0584702,-0.6440738,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.08877343,-0.3177353,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.05682352,-0.231353,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.04984347,-0.2027748,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.2192398,-0.08673116,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2024397,0.2572248,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.03098617,0.2722752,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.3954268,0.2513305,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.3380169,0.2724262,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.09028889,0.3487378,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.4127774,0.2116659,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.04961668,0.06350114,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
