xa60,xb60,y,Apr,Mar,Sep,Oct,Jun,May,Aug,Feb,Dec,Nov,Jul,Jan,Tue,Thu,Mon,Wed,Fri,Sat,Sun
-5.414489,-1.488711,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-5.414489,-1.390978,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-5.414489,-1.323407,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-5.414489,-1.253762,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-5.414489,-1.169962,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-5.414489,-1.080488,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-5.414489,-0.9774163,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-5.414489,-0.8972474,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-5.414489,-0.7745781,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
-5.414489,-0.6706411,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-5.414489,-0.6126468,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-5.414489,-0.5896054,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-5.414489,-0.5627051,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-5.414489,-0.5199357,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-5.414489,-0.5291536,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-5.414489,-0.5328438,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-5.414489,-0.5383447,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-5.414489,-0.5235681,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-5.414489,-0.4767792,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-5.414489,-0.4862375,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-5.414489,-0.503272,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-5.414489,-0.5635097,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-5.414489,-0.5853301,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
-5.414489,-0.5954023,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-5.414489,-0.6232607,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-5.414489,-0.5912479,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-5.414489,-0.5894065,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-5.414489,-0.5674573,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
-5.414489,-0.5327171,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-5.414489,-0.5409879,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-5.414489,-0.5527924,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-5.414489,-0.5724727,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
-5.414489,-0.5804046,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
-5.414489,-0.5966657,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
-5.414489,-0.6209325,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-5.414489,-0.6270902,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-5.414489,-0.634384,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-5.414489,-0.6418763,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
-5.414489,-0.6488392,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
-5.414489,-0.6593535,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0336188,-0.6545242,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.03250917,-0.654973,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1237031,-0.6338208,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.04247476,-0.6157345,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.06124355,-0.5726595,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.06950959,-0.5340952,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.00968484,-0.5147809,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.0452561,-0.4683334,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-0.06977894,-0.4132409,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02247196,-0.3756823,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.1942012,-0.3809049,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.1092859,-0.3262053,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.1350276,-0.2738995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0451315,-0.2368958,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.07531482,-0.2188853,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.03965308,-0.2269176,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.09509732,-0.2119017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.08060886,-0.1824068,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.1112101,-0.1362171,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
