xa1,xb1,y,Oct,Nov,Jun,Sep,Aug,Jul,Apr,Jan,May,Dec,Mar,Feb,Tue,Thu,Sat,Sun,Mon,Fri,Wed
0,7.6807e+007,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9982438,7.8344e+007,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9980331,9.60818e+007,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.008653,5.98808e+007,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9961734,5.72568e+007,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.000505,8.19917e+007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.003504,9.06839e+007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.001268,7.81688e+007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9981435,6.51037e+007,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9970131,5.53915e+007,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.9970221,8.19743e+007,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.00063,7.0246e+007,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.9937026,1.491582e+008,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.013998,9.69619e+007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.9973008,5.65154e+007,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.001563,8.23816e+007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.001269,7.46159e+007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.000677,6.21152e+007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.999112,8.89461e+007,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.005955,7.72041e+007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.001576,8.47224e+007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.9991487,8.67858e+007,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.00522,7.1109e+007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.003995,5.51821e+007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.005443,6.60159e+007,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1.003946,6.59552e+007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.005933,5.15662e+007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.00131,5.79312e+007,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1.000044,5.77901e+007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9982122,8.05632e+007,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.006893,6.96576e+007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.000659,7.91177e+007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.000396,7.58808e+007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9999121,7.97373e+007,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.9937983,5.97111e+007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.9984302,5.99707e+007,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9989545,8.44377e+007,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.008656,9.55553e+007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.006412,7.50616e+007,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.9973978,1.291686e+008,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1.003674,6.66088e+007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9962955,5.47933e+007,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.00221,6.12408e+007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9964765,6.27179e+007,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.002296,7.21132e+007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.9974901,7.465e+007,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.002826,6.37719e+007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,4.62653e+007,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9966991,7.15599e+007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1.003578,7.8379e+007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9992055,7.87444e+007,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.005949,9.13665e+007,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1.00765,1.089983e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.996345,4.86961e+007,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9997772,6.4095e+007,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.9917355,4.26725e+007,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.002481,3.66978e+007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.001464,5.62191e+007,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.9982726,6.7909e+007,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9972174,8.98388e+007,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.003858,9.03411e+007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.002177,1.564202e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9980442,1.249726e+008,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1.004117,1.425018e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.9917457,1.104775e+008,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.006674,1.020161e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.9988522,8.80058e+007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.00604,9.97144e+007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.002449,1.107381e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1.013081,5.98774e+007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1.003167,6.78378e+007,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1.006009,7.48403e+007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.000501,7.90405e+007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9963245,1.132918e+008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9976008,6.98867e+007,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.00195,7.65725e+007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9953051,3.78723e+007,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.003715,5.66202e+007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.000544,6.7429e+007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.001953,7.24026e+007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.007551,8.62658e+007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
