xa10,xb10,y,Jan,Dec,Mar,Feb,Apr,May,Sep,Jun,Aug,Jul,Nov,Oct,Tue,Mon,Thu,Sun,Fri,Sat,Wed
0,9.283682e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1.246204e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1.414231e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1.421833e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1.443737e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.558865e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1.632286e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1.589097e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.568218e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.556177e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.675021e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,1.804162e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1.950302e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.895444e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.723791e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.6475e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1.658167e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,1.669193e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.637234e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.633578e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1.653207e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.608566e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1.515498e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1.424246e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.358458e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1.355735e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.306355e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.30341e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1.346964e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.456202e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
