xa120,xb120,y,Nov,Jul,Oct,Feb,Dec,Jun,Aug,Jan,Apr,May,Sep,Mar,Thu,Fri,Sat,Sun,Wed,Mon,Tue
0,1.071674e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1.135822e+010,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1.18945e+010,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1.230858e+010,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1.268785e+010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1.31081e+010,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1.350652e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1.374129e+010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1.398644e+010,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1.430343e+010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,1.47183e+010,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,1.507159e+010,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1.54715e+010,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1.565559e+010,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,1.572096e+010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0,1.584712e+010,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,1.602097e+010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,1.615189e+010,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,1.630808e+010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1.650751e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1.684373e+010,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1.687637e+010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1.69165e+010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,1.681163e+010,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1.690573e+010,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1.706886e+010,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,1.711031e+010,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1.725971e+010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1.758477e+010,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1.783899e+010,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,1.806216e+010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,1.815509e+010,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1.826284e+010,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1.825903e+010,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,1.83279e+010,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,1.846969e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1.865081e+010,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
