xa2,xb2,y,May,Jul,Jan,Apr,Jun,Dec,Mar,Feb,Sep,Aug,Nov,Oct,Thu,Wed,Fri,Sun,Mon,Tue,Sat
0,1.53614e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.33495e+008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.705076e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2.158434e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.743944e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2.212402e+008,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.633595e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.470215e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2.083762e+008,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,1.758867e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,2.193401e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.224663e+008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3.685624e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3.43082e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,2.099927e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2.212786e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,2.316134e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.988463e+008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,2.400074e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.433543e+008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2.466489e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.58294e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,2.290038e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.814732e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,1.872139e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,1.979263e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.690876e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,1.674286e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.735114e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,2.189165e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.198784e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,2.27893e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,2.308793e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.353554e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.991595e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1.796525e+008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.288461e+008,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,2.755483e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.456785e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,3.333988e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.623862e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1.761954e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.772749e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1.866766e+008,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,2.069443e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,2.214132e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.021938e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1.563025e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.893851e+008,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.283179e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,2.358678e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.614774e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,3.093631e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.063905e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,1.768861e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1.4944e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1.160681e+008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.49136e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,1.920371e+008,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,2.475866e+008,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,2.70521e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,4.031815e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,4.063654e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,4.099762e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3.634568e+008,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,3.145097e+008,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,2.780277e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.874346e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,3.211906e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,2.304929e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1.95553e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,2.175184e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2.329213e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3.056241e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.530652e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2.230317e+008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.523171e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1.511127e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.914782e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,2.122342e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.449342e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,2.258602e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2.010326e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2.489229e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.808126e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,2.956854e+008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,4.447793e+008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,6.889713e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,4.719732e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3.263619e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3.280391e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2.870007e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2.956009e+008,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,3.488944e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.453268e+008,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,3.425189e+008,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.950636e+008,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2.286312e+008,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,2.087901e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1.868355e+008,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.383248e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,2.363687e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.066782e+008,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2.202586e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,1.934211e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,2.449681e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2.960602e+008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2.490892e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3.346009e+008,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,2.340774e+008,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2.314316e+008,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,2.156431e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.085594e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3.127122e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,2.869723e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3.179179e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3.733441e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,3.028926e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.444006e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2.581494e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,2.370891e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.269883e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.972475e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,2.49615e+008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
