xa20,xb20,y,May,Nov,Aug,Sep,Mar,Apr,Feb,Jul,Dec,Jun,Oct,Jan,Thu,Sun,Fri,Mon,Wed,Sat,Tue
0,1.668078e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2.067888e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2.306161e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2.462921e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2.581788e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2.75343e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2.909234e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2.94066e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2.981897e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,3.058802e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3.25485e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3.391906e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,3.546488e+009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,3.466657e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3.290305e+009,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,3.222774e+009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,3.217404e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3.189312e+009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,3.137116e+009,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,3.126146e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
