xa250,xb250,y,Jun,Dec,Apr,Jul,Nov,Jan,Sep,Mar,Aug,Oct,May,Feb,Thu,Mon,Sat,Wed,Sun,Fri,Tue
0,2.072713e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2.144224e+010,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2.205519e+010,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,2.257956e+010,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2.302849e+010,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2.352899e+010,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2.408265e+010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,2.445185e+010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,2.483119e+010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,2.533101e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2.591399e+010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,2.648887e+010,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,2.696288e+010,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,2.722352e+010,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,2.73456e+010,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,2.755105e+010,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2.782274e+010,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2.803893e+010,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2.825324e+010,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,2.852318e+010,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,2.898189e+010,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2.908376e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2.919562e+010,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2.914415e+010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
