xa3,xb3,y,Jan,Sep,Aug,Jun,Jul,May,Oct,Mar,Feb,Dec,Nov,Apr,Sat,Sun,Thu,Mon,Tue,Fri,Wed
0,3.08765e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4.847278e+008,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9982438,5.048142e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9980331,4.290628e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.008653,3.735237e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9961734,4.511726e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.000505,5.142039e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.003504,4.809779e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.001268,4.070402e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.9981435,3.783562e+008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9970131,4.269519e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9970221,5.238448e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.00063,6.849285e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9937026,6.457175e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.013998,4.458516e+008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.9973008,4.347915e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.001563,4.507261e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1.001269,4.245235e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1.000677,4.682728e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.999112,4.942269e+008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.005955,4.953612e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.001576,5.009112e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.9991487,4.420807e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.00522,3.737802e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.003995,3.743671e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1.005443,3.814636e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.003946,3.445402e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.005933,3.347161e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.00131,3.697959e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.000044,4.269274e+008,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.9982122,4.492169e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.006893,4.525491e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.000659,4.656151e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.000396,4.506846e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.9999121,3.985786e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9937983,3.83772e+008,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.9984302,4.688098e+008,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9989545,5.306029e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.008656,5.45464e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.006412,6.042378e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.9973978,5.129569e+008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.003674,3.588383e+008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9962955,3.560269e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.00221,3.827485e+008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9964765,4.164254e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.002296,4.319483e+008,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.9974901,3.86881e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.002826,3.378996e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,3.855893e+008,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.9966991,4.570012e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1.003578,4.843577e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9992055,5.405866e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.005949,5.58424e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1.00765,4.281799e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.996345,3.323497e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.9997772,2.929053e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9917355,2.516575e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.002481,3.099619e+008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.001464,4.06004e+008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.9982726,4.956755e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9972174,6.071211e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.003858,7.749154e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.002177,8.3026e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9980442,7.879281e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.004117,7.184522e+008,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.9917457,6.150091e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.006674,5.67764e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.9988522,5.858929e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1.00604,5.915205e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.002449,4.689462e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.013081,3.981085e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.003167,4.39237e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.006009,5.000939e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.000501,5.678431e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9963245,5.128162e+008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9976008,4.073632e+008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.00195,3.233821e+008,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.9953051,3.130342e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.003715,3.8793e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.000544,4.383316e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.001953,4.733998e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.007551,4.475409e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.9977624,4.281001e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.005141,5.007732e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.9981217,5.675979e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.007803,6.629314e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1.000786,9.758743e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.997695,1.226286e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1.002496,9.469692e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.010602,6.52051e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1.004504,6.358954e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.022057,5.883929e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9988984,6.106528e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9954229,6.362795e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9939814,5.700043e+008,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.9927546,6.216348e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.000047,5.886125e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9970446,4.480992e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9973332,4.111845e+008,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.9979923,4.026135e+008,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.9966494,4.612003e+008,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.004253,4.656168e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.000468,4.237069e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9981333,4.219232e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.002667,4.219127e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.006262,4.97947e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9965278,5.646295e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.000516,5.546797e+008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9967245,5.906894e+008,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.001312,5.060881e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9873704,4.360023e+008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.005208,4.411748e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.9965706,4.642509e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1.000696,5.889884e+008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.004425,6.076354e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9949022,6.467035e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9975959,7.060286e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1.007546,5.96869e+008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9909527,5.001337e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.004964,5.001024e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.006208,4.77226e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9918978,4.875823e+008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9945207,5.538759e+008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.006301,5.098152e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.011245,5.353185e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.000047,7.606381e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.000188,8.47942e+008,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.9961344,8.542411e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.009993,9.849683e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.9996248,1.091579e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9856245,1.075092e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.014347,7.420418e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9760652,4.345726e+008,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.997717,4.0251e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9999087,4.491301e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.003022,5.373899e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.004508,5.096114e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
