xa40,xb40,y,Nov,Jul,Mar,Aug,Oct,Apr,Jun,Feb,Sep,Jan,Dec,May,Sun,Tue,Fri,Wed,Sat,Thu,Mon
0,3.247907e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3.732439e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,4.057498e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,4.285367e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,4.459416e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,4.697074e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,4.918833e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,5.001825e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,5.100993e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,5.235689e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,5.5123e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,5.719014e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,5.952713e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,5.948763e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,5.852148e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,5.844328e+009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,5.898929e+009,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,5.955275e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,5.998634e+009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,6.062726e+009,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,6.236695e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,6.169539e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
