xa5,xb5,y,Nov,Oct,Aug,Feb,Jul,Dec,May,Apr,Sep,Jun,Mar,Jan,Mon,Sun,Tue,Wed,Fri,Thu,Sat
0,5.599978e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,7.958414e+008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,8.731846e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9982438,8.026179e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9980331,7.594187e+008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.008653,8.191546e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9961734,8.874088e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.000505,8.523175e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.003504,7.783624e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.001268,7.292405e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9981435,8.488256e+008,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9970131,9.775767e+008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9970221,1.139784e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1.00063,1.100981e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9937026,9.054846e+008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.013998,8.073815e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.9973008,8.153003e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.001563,8.097864e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
