xa60,xb60,y,Nov,Aug,Jul,Sep,Apr,Jan,Dec,Mar,Oct,Jun,May,Feb,Sat,Wed,Tue,Fri,Mon,Sun,Thu
0,6.313655e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,6.864796e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,7.244648e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,7.533758e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,7.770525e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,8.080297e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,8.376705e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,8.52347e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,8.668903e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,8.875158e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,9.230148e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,9.515606e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,9.840672e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,9.945721e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,9.897802e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,9.954077e+009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1.005135e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1.014439e+010,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1.024397e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1.037597e+010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1.063978e+010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,1.058616e+010,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,1.055649e+010,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1.038601e+010,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,1.038845e+010,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,1.0457e+010,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1.03979e+010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,1.037518e+010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1.044182e+010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1.058926e+010,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0,1.070264e+010,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1.068645e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1.070526e+010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,1.059812e+010,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,1.05442e+010,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,1.062473e+010,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,1.066522e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1.070969e+010,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,1.069349e+010,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1.067681e+010,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.014235,1.056927e+010,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
